ProductID;ProductCategory;Deeplink;ProductName;ImageUrl;ProductDescription;BrandName;Price;PreviousPrice;AvailableSizes;Tags;EAN;LastUpdate;UnitPrice
21631;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/damen/bekleidung/jeans/angesagte-jeans-von-true-religion-in-schwarz-gr-w26/a-21631/?ReferrerID=3;True Religion Jeans in Schwarz Gr. W26;https://www.vite-envogue.de/images/produkte/i21/21631-A2-A20544-puppet-1.jpg;<p><b>Größe:</b> W26</p> <p><b>Farbe:</b> Schwarz</p> <p><b>Gesamtlänge:</b> ca. 107 cm</p> <p><b>Bundweite:</b> ca. 37 cm</p> <p><b>Stil:</b> Gerades Bein</p> <p><b>Material:</b> Baumwolle</p> <p><b>Präzises Material:</b> 100% Baumwolle</p> <p><b>Bundhöhe:</b> Niedrig</p> <p><b>Waschung:</b> Coloured</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <ul>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;True Religion;11,95;300;;TRUE RELIGION Jeans Gr. W26 Schwarz Damen  Damenjeans Coloured Denim Hose Pants;A2-A20544;09.09.2014;
21785;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/angesagte-jeans-von-true-religion-in-blau-gr-w26-neu-mit-etikett/a-21785/?ReferrerID=3;True Religion Jeans in Blau Gr. W26;https://www.vite-envogue.de/images/produkte/i21/21785-A6-A20698-puppet-1.jpg;<p><b>Größe:</b> W26</p> <p><b>Farbe:</b> Blau</p> <p><b>Gesamtlänge:</b> ca. 105 cm</p> <p><b>Bundweite:</b> ca. 37 cm</p> <p><b>Stil:</b> Gerades Bein</p> <p><b>Material:</b> Baumwolle</p> <p><b>Präzises Material:</b> 100% Baumwolle</p> <p><b>Bundhöhe:</b> Mittel</p> <p><b>Waschung:</b> Stonewashed</p> <p><b>Modell:</b> Johnny Row</p> <p><b>Artikelzustand:</b> Neu</p>   <ul>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;True Religion;25,95;;;Jeans, True Religion;A6-A20698;09.09.2014;
21864;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/angesagte-jeans-von-true-religion-in-blau-gr-w25/a-21864/?ReferrerID=3;True Religion Jeans in Blau Gr. W25;https://www.vite-envogue.de/images/produkte/i21/21864-A2-A20777-puppet-1.jpg;<p><b>Größe:</b> W25</p> <p><b>Farbe:</b> Blau</p> <p><b>Gesamtlänge:</b> ca. 96 cm</p> <p><b>Bundweite:</b> ca. 31 cm</p> <p><b>Stil:</b> Röhrenjeans</p> <p><b>Material:</b> Baumwollmischung</p> <p><b>Präzises Material:</b> 99% Baumwolle, 1% Elasthan</p> <p><b>Bundhöhe:</b> Mittel</p> <p><b>Waschung:</b> Dark Washed</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <ul>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;True Religion;17,95;80;;Jeans, True Religion;A2-A20777;09.09.2014;
21866;Damen > Bekleidung > Shirts und Tops;https://www.vite-envogue.de/damen/bekleidung/shirts-tops/klassisches-poloshirt-von-la-martina-in-flieder-gr-s-top-zustand/a-21866/?ReferrerID=3;La Martina Poloshirt in Flieder Gr. S;https://www.vite-envogue.de/images/produkte/i21/21866-A2-A20779-puppet-1.jpg;<p><b>Größe:</b> S</p> <p><b>Farbe:</b> Flieder</p> <p><b>Gesamtlänge:</b> ca. 61 cm</p> <p><b>Stil:</b> Poloshirts</p> <p><b>Material:</b> Baumwolle</p> <p><b>Präzises Material:</b> 92% Baumwolle, 8% Elasthan</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <ul>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;La Martina;6,95;80;;LA MARTINA Poloshirt Gr. S Lila Damen Oberteil Shirt Kurzarm T-Shirt Polohemd;A2-A20779;09.09.2014;
21889;Damen > Bekleidung > Shirts und Tops;https://www.vite-envogue.de/damen/bekleidung/shirts-tops/klassisches-poloshirt-von-la-martina-in-grau-gr-s-top-zustand/a-21889/?ReferrerID=3;La Martina Poloshirt in Grau Gr. S;https://www.vite-envogue.de/images/produkte/i21/21889-A2-A20802-puppet-1.jpg;<p><b>Größe:</b> S</p> <p><b>Farbe:</b> Grau</p> <p><b>Gesamtlänge:</b> ca. 60 cm</p> <p><b>Stil:</b> Poloshirts</p> <p><b>Material:</b> Baumwollmischung</p> <p><b>Präzises Material:</b> 92% Baumwolle, 8% Elasthan</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <ul>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;La Martina;8,95;80;;LA MARTINA Poloshirt Gr. S Grau Damen Oberteil Shirt Kurzarm T-Shirt Polohemd;A2-A20802;09.09.2014;
24867;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/modische-jeans-von-true-religion-in-blau-gr-w26-top-zustand/a-24867/?ReferrerID=3;True Religion Jeans in Blau Gr. W26;https://www.vite-envogue.de/images/produkte/i24/24867-A6-A23037-puppet-1.jpg;<p><b>Größe:</b> W26</p> <p><b>Farbe:</b> Blau</p> <p><b>Gesamtlänge:</b> ca. 98 cm</p> <p><b>Bundweite:</b> ca. 38 cm</p> <p><b>Stil:</b> Gerades Bein</p> <p><b>Material:</b> Baumwollgemisch</p> <p><b>Präzises Material:</b> 88% Baumwolle, 10% Polyester, 2% Spandex</p> <p><b>Bundhöhe:</b> Niedrig</p> <p><b>Waschung:</b> Darkwashed</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <ul>       <li>Hose ist gekürzt, bitte Maßangaben beachten </li>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;True Religion;17,95;300;;TRUE RELIGION Jeans Gr. W26 Blau Damen Unterteil Hose Damenjeans Straight Denim;A6-A23037;09.09.2014;
25012;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/damen/bekleidung/jeans/schoene-jeans-von-burberry-brit-in-blau-gr-w32-top-zustand/a-25012/?ReferrerID=3;Burberry Brit Jeans in Blau Gr. W32;https://www.vite-envogue.de/images/produkte/i25/25012.jpg;<p><b>Größe:</b> W32</p> <p><b>Farbe:</b> Blau</p> <p><b>Gesamtlänge:</b> ca. 79 cm</p> <p><b>Bundweite:</b> ca. 48 cm</p> <p><b>Stil:</b> Caprihose</p> <p><b>Material:</b> Baumwollmischung</p> <p><b>Präzises Material:</b> 98% Baumwolle, 2% Elasthan</p> <p><b>Bundhöhe:</b> Mittel</p> <p><b>Waschung:</b> Stone Washed</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <p><b>Artikeldetails:</b> Stylische Caprihose von BURBERRY BRIT in Blau mit toller Waschung.</p>   <ul>       <li>Modernes Design aus hochwertigen Materialien im angesagten Used-Look</li>       <li>Caprihose im klassischen 5-Pocket-Stil</li>       <li>Logo-Prägung auf Knöpfen und Nieten</li>       <li>Kontrastnähte in Beige</li>       <li>Originelle Pattentaschen mit Knöpfen auf dem Gesäß</li>       <li>Gürtelschlaufen</li>   </ul> <p> </p> <p>Da das Größenetikett entfernt wurde, wurde die Größe von uns geschätzt.</p> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;Burberry Brit;20,95;80;;Jeans, Burberry Brit;A0-A23182;09.09.2014;
27107;Damen > Bekleidung > Westen;https://www.vite-envogue.de/damen/bekleidung/westen/traumhafte-weste-von-style-butler-in-braun-gr-36-wie-neu/a-27107/?ReferrerID=3;Style Butler Weste in Braun Gr. 36;https://www.vite-envogue.de/images/produkte/i27/27107.jpg;<p><b>Größe:</b> 36</p> <p><b>Farbe:</b> Braun</p> <p><b>Gesamtlänge:</b> ca. 37 cm</p> <p><b>Material:</b> Fell</p> <p><b>Präzises Material:</b> 100% Kaninchenfell</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <p><b>Artikeldetails:</b> Trendige Fellweste von STYLE BUTLER in Braun. Das butterweiche Leder und das kuschelig warme Fell, kombiniert mit modernem Design machen diese Weste zum Lieblings-Stück. Wie Neu!</p>   <ul>       <li>Kurze Passform</li>       <li>Mit Applikationen in brauner und silberner Metall-Optik</li>       <li>Unsichtbare Ösen-Verschlüsse</li>       <li>Kuschelig weicher Tragekomfort </li>       <li>Wie Neu!</li>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;Style Butler;56,95;;;Weste, Style Butler;A2-A25277;09.09.2014;
27522;Damen > Bekleidung > Röcke;https://www.vite-envogue.de/damen/bekleidung/r-cke/schoener-faltenrock-von-chloe-in-creme-gr-36/a-27522/?ReferrerID=3;Chloé Faltenrock in Creme Gr. DE 36;https://www.vite-envogue.de/images/produkte/i27/27522.jpg;<p><b>Größe:</b> DE 36</p> <p><b>Farbe:</b> Creme</p> <p><b>Gesamtlänge:</b> ca. 50 cm</p> <p><b>Bundweite:</b> ca. 38 cm</p> <p><b>Stil:</b> Faltenrock</p> <p><b>Material:</b> Baumwolle</p> <p><b>Präzises Material:</b> 100% Baumwolle</p> <p><b>Futter:</b> Nicht gefüttert</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <p><b>Artikeldetails:</b> Dieser tolle Rock begeistert durch sein verspieltes Design. Besonders extravagant ist der Cut out zwischen Rock und Bündchen, der jedoch beim Tragen nicht sichtbar ist und für einen lockeren Fall des Stoffes sorgt.</p>   <ul>       <li>Leichte Baumwolle für hohen Tragekomfort</li>       <li>Leicht ausgestellt geschnitten</li>       <li>Seitliche Eingriffstaschen</li>       <li>Stoffgürtel</li>       <li>Auf rechts liegende Nähte am Bündchen</li>       <li>Cut out am Bund vorne, Designelement, nicht defekt!</li>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;Chloé;25,95;;;CHLOé Faltenrock Gr. DE 36 Weiß Damen Rock Sommerrock Stoffrock Damenrock;A2-A25695;09.09.2014;
28684;Damen > Bekleidung > Blusen und Tuniken;https://www.vite-envogue.de/damen/bekleidung/blusen-tuniken/schoene-bluse-von-la-martina-in-braun-weiss-kariert-gr-s-top-zustand/a-28684/?ReferrerID=3;La Martina Bluse in Braun & Weiß kariert Gr. S;https://www.vite-envogue.de/images/produkte/i28/28684-B3-A26854-puppet-1.jpg;<p><b>Größe:</b> S</p> <p><b>Farbe:</b> Braun</p> <p><b>Gesamtlänge:</b> ca. 68 cm</p> <p><b>Brustweite:</b> ca. 47 cm</p> <p><b>Ärmellänge:</b> ca. 63 cm</p> <p><b>Stil:</b> Blusen</p> <p><b>Material:</b> Baumwolle</p> <p><b>Präzises Material:</b> 100% Baumwolle</p> <p><b>Artikelzustand:</b> Sehr gut</p>   <ul>   </ul> <p> </p> <p>Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.</p>;La Martina;7,95;150;;LA MARTINA Bluse Gr. S Braun Weiß Damen Oberteil Damenbluse Hemd Top Hemdchen;B3-A26854;09.09.2014;
