ProductID;ProductCategory;Deeplink;ProductName;ImageUrl;ProductDescription;BrandName;Price;PreviousPrice;AvailableSizes;Tags;EAN;LastUpdate;UnitPrice;RetailerAttributes;Color
21631;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/damen/bekleidung/jeans/angesagte-jeans-von-true-religion-in-schwarz-gr-w26/a-21631/?ReferrerID=3;True Religion Jeans;https://www.vite-envogue.de/images/produkte/i21/21631-A2-A20544-puppet-1.jpg;Größe: W26 Farbe: Schwarz Gesamtlänge: ca. 107 cm Bundweite: ca. 37 cm Stil: Gerades Bein Material: Baumwolle Präzises Material: 100% Baumwolle Bundhöhe: Niedrig Waschung: Coloured Artikelzustand: Sehr gut         Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;True Religion;11,95;300;W26;TRUE RELIGION Jeans Gr. W26 Schwarz Damen  Damenjeans Coloured Denim Hose Pants;A2-A20544;09.09.2014;;;Schwarztöne
21785;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/angesagte-jeans-von-true-religion-in-blau-gr-w26-neu-mit-etikett/a-21785/?ReferrerID=3;True Religion Jeans;https://www.vite-envogue.de/images/produkte/i21/21785-A6-A20698-puppet-1.jpg;Größe: W26 Farbe: Blau Gesamtlänge: ca. 105 cm Bundweite: ca. 37 cm Stil: Gerades Bein Material: Baumwolle Präzises Material: 100% Baumwolle Bundhöhe: Mittel Waschung: Stonewashed Modell: Johnny Row Artikelzustand: Neu         Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;True Religion;25,95;;W26;Jeans, True Religion;A6-A20698;09.09.2014;;;Blautöne
21864;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/angesagte-jeans-von-true-religion-in-blau-gr-w25/a-21864/?ReferrerID=3;True Religion Jeans;https://www.vite-envogue.de/images/produkte/i21/21864-A2-A20777-puppet-1.jpg;Größe: W25 Farbe: Blau Gesamtlänge: ca. 96 cm Bundweite: ca. 31 cm Stil: Röhrenjeans Material: Baumwollmischung Präzises Material: 99% Baumwolle, 1% Elasthan Bundhöhe: Mittel Waschung: Dark Washed Artikelzustand: Sehr gut         Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;True Religion;17,95;80;W25;Jeans, True Religion;A2-A20777;09.09.2014;;;Blautöne
21866;Damen > Bekleidung > Shirts und Tops;https://www.vite-envogue.de/damen/bekleidung/shirts-tops/klassisches-poloshirt-von-la-martina-in-flieder-gr-s-top-zustand/a-21866/?ReferrerID=3;La Martina Poloshirt;https://www.vite-envogue.de/images/produkte/i21/21866-A2-A20779-puppet-1.jpg;Größe: S Farbe: Flieder Gesamtlänge: ca. 61 cm Stil: Poloshirts Material: Baumwolle Präzises Material: 92% Baumwolle, 8% Elasthan Artikelzustand: Sehr gut         Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;La Martina;6,95;80;S;LA MARTINA Poloshirt Gr. S Lila Damen Oberteil Shirt Kurzarm T-Shirt Polohemd;A2-A20779;09.09.2014;;;Fliedertöne
21889;Damen > Bekleidung > Shirts und Tops;https://www.vite-envogue.de/damen/bekleidung/shirts-tops/klassisches-poloshirt-von-la-martina-in-grau-gr-s-top-zustand/a-21889/?ReferrerID=3;La Martina Poloshirt;https://www.vite-envogue.de/images/produkte/i21/21889-A2-A20802-puppet-1.jpg;Größe: S Farbe: Grau Gesamtlänge: ca. 60 cm Stil: Poloshirts Material: Baumwollmischung Präzises Material: 92% Baumwolle, 8% Elasthan Artikelzustand: Sehr gut         Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;La Martina;8,95;80;S;LA MARTINA Poloshirt Gr. S Grau Damen Oberteil Shirt Kurzarm T-Shirt Polohemd;A2-A20802;09.09.2014;;;Grautöne
24867;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/modische-jeans-von-true-religion-in-blau-gr-w26-top-zustand/a-24867/?ReferrerID=3;True Religion Jeans;https://www.vite-envogue.de/images/produkte/i24/24867-A6-A23037-puppet-1.jpg;Größe: W26 Farbe: Blau Gesamtlänge: ca. 98 cm Bundweite: ca. 38 cm Stil: Gerades Bein Material: Baumwollgemisch Präzises Material: 88% Baumwolle, 10% Polyester, 2% Spandex Bundhöhe: Niedrig Waschung: Darkwashed Artikelzustand: Sehr gut          Hose ist gekürzt, bitte Maßangaben beachten       Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;True Religion;17,95;300;W26;TRUE RELIGION Jeans Gr. W26 Blau Damen Unterteil Hose Damenjeans Straight Denim;A6-A23037;09.09.2014;;;Blautöne
25012;Damen > Bekleidung > Jeans;https://www.vite-envogue.de/damen/bekleidung/jeans/schoene-jeans-von-burberry-brit-in-blau-gr-w32-top-zustand/a-25012/?ReferrerID=3;Burberry Brit Jeans;https://www.vite-envogue.de/images/produkte/i25/25012.jpg;Größe: W32 Farbe: Blau Gesamtlänge: ca. 79 cm Bundweite: ca. 48 cm Stil: Caprihose Material: Baumwollmischung Präzises Material: 98% Baumwolle, 2% Elasthan Bundhöhe: Mittel Waschung: Stone Washed Artikelzustand: Sehr gut   Artikeldetails: Stylische Caprihose von BURBERRY BRIT in Blau mit toller Waschung.          Modernes Design aus hochwertigen Materialien im angesagten Used-Look       Caprihose im klassischen 5-Pocket-Stil       Logo-Prägung auf Knöpfen und Nieten       Kontrastnähte in Beige       Originelle Pattentaschen mit Knöpfen auf dem Gesäß       Gürtelschlaufen      Da das Größenetikett entfernt wurde, wurde die Größe von uns geschätzt.   Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;Burberry Brit;20,95;80;W32;Jeans, Burberry Brit;A0-A23182;09.09.2014;;;Blautöne
27107;Damen > Bekleidung > Westen;https://www.vite-envogue.de/damen/bekleidung/westen/traumhafte-weste-von-style-butler-in-braun-gr-36-wie-neu/a-27107/?ReferrerID=3;Style Butler Weste;https://www.vite-envogue.de/images/produkte/i27/27107.jpg;Größe: 36 Farbe: Braun Gesamtlänge: ca. 37 cm Material: Fell Präzises Material: 100% Kaninchenfell Artikelzustand: Sehr gut   Artikeldetails: Trendige Fellweste von STYLE BUTLER in Braun. Das butterweiche Leder und das kuschelig warme Fell, kombiniert mit modernem Design machen diese Weste zum Lieblings-Stück. Wie Neu!          Kurze Passform       Mit Applikationen in brauner und silberner Metall-Optik       Unsichtbare Ösen-Verschlüsse       Kuschelig weicher Tragekomfort        Wie Neu!      Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;Style Butler;56,95;;36;Weste, Style Butler;A2-A25277;09.09.2014;;;Brauntöne
27522;Damen > Bekleidung > Röcke;https://www.vite-envogue.de/damen/bekleidung/r-cke/schoener-faltenrock-von-chloe-in-creme-gr-36/a-27522/?ReferrerID=3;Chloé Faltenrock;https://www.vite-envogue.de/images/produkte/i27/27522.jpg;Größe: DE 36 Farbe: Creme Gesamtlänge: ca. 50 cm Bundweite: ca. 38 cm Stil: Faltenrock Material: Baumwolle Präzises Material: 100% Baumwolle Futter: Nicht gefüttert Artikelzustand: Sehr gut   Artikeldetails: Dieser tolle Rock begeistert durch sein verspieltes Design. Besonders extravagant ist der Cut out zwischen Rock und Bündchen, der jedoch beim Tragen nicht sichtbar ist und für einen lockeren Fall des Stoffes sorgt.          Leichte Baumwolle für hohen Tragekomfort       Leicht ausgestellt geschnitten       Seitliche Eingriffstaschen       Stoffgürtel       Auf rechts liegende Nähte am Bündchen       Cut out am Bund vorne, Designelement, nicht defekt!      Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;Chloé;25,95;;DE 36;CHLOé Faltenrock Gr. DE 36 Weiß Damen Rock Sommerrock Stoffrock Damenrock;A2-A25695;09.09.2014;;;Cremetöne
28684;Damen > Bekleidung > Blusen und Tuniken;https://www.vite-envogue.de/damen/bekleidung/blusen-tuniken/schoene-bluse-von-la-martina-in-braun-weiss-kariert-gr-s-top-zustand/a-28684/?ReferrerID=3;La Martina Bluse;https://www.vite-envogue.de/images/produkte/i28/28684-B3-A26854-puppet-1.jpg;Größe: S Farbe: Braun Gesamtlänge: ca. 68 cm Brustweite: ca. 47 cm Ärmellänge: ca. 63 cm Stil: Blusen Material: Baumwolle Präzises Material: 100% Baumwolle Artikelzustand: Sehr gut         Bitte beachten Sie auch die Maßangaben, da die Größen je nach Hersteller unterschiedlich ausfallen.;La Martina;7,95;150;S;LA MARTINA Bluse Gr. S Braun Weiß Damen Oberteil Damenbluse Hemd Top Hemdchen;B3-A26854;09.09.2014;;;Brauntöne
