ProductID;ProductCategory;Deeplink;ProductName;ImageUrl;ProductDescription;BrandName;Price;PreviousPrice;AvailableSizes;Tags;EAN;LastUpdate;UnitPrice;RetailerAttributes;Color
3863;PM Category 22 > Schuhe > PM Category 23 > PM Category 24;http://reverse2.plenty-test-drive.eu/herren/oberteile/sweatshirts-sweatjacken/sehr-elegante-sweatjacke-von-la-martina-in-weiss-gr-xl-absolut-neuwertig/a-3863/?ReferrerID=3;La Martina Sweatjacke;http://reverse2.plenty-test-drive.eu/images/produkte/i38/3863.jpg;"Größe: XL Material: 100% Baumwolle Passform: Klassisch Brustweite: ca. 52 cm ärmellänge: ca. 66 cm Gesamtlänge: ca. 68 cm Artikelzustand: Sehr gut Artikeldetails: Sehr elegante und sch&ouml;ne Sweatjacke von LA MARTINA in einer hervorragenden Baumwollqualität. Die Sweatjacke mit Taschen schlie&szlig;t mit einem Rei&szlig;verschluss und zeichnet sich durch die vielen sch&ouml;nen Stickereien und Applikationen aus. Ein absolutes Must-Have f&uuml;r den stilsicheren Gentleman! &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen &nbsp; Hinweis:  Das Gebot bezieht sich nur auf den in der Auktion beschriebenen Artikel &nbsp; &nbsp; Sie haben Fragen zu diesem Artikel? Wenden Sie sich gern an uns und wir klären Ihre Fragen gemeinsam. Unsere Servicezeiten sind Montags&nbsp; &ndash; Freitags zwischen 09:00 und 18:00, au&szlig;er an gesetzlichen Feiertagen.";La Martina;24,95;;XL;Sweatshirts/ Sweatjacken, La Martina;A2-A02837;06.09.2014;;;Weißtöne
13340;Damen > Schuhe > Pumps und Sandaletten;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/tolle-wedges-von-replay-in-jeansblau-gr-eu-39-wie-neu/a-13340/?ReferrerID=3;Replay Wedges;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13340-A0-A18341-detail-1.jpg;"Größe: EU 39 Farbe: Jeansblau Stil: Wedges Obermaterial: Textil Absatzhöhe: Sehr hoher Absatz (Größer als 8 cm) Sohle: Synthetik Innenmaterial: Textil & Synthetik Artikelzustand: Sehr gut   Artikeldetails: Sehr schöne Wedges von REPLAY in Jeansblau mit geflochtenem Bastabsatz.          Sommerliches Design aus hochwertigem Material       Bequem geschnitten auf 9,5 cm Absatzhöhe       Feine Fesselriemen mit seitlicher Schnalle       Sehr sommerliches Blumenmuster       Gesticktes Labeling an der Außenseite    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Designerartikel;33,9;67;EU 39;Pumps / Sandaletten, Replay;A0-A18341;30.07.2014;;;Blautöne
13341;Damen > Schuhe > Pumps und Sandaletten;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/elegante-sandaletten-von-ugg-australia-in-dunkelbraun-gr-eu-39-wedges/a-13341/?ReferrerID=3;UGG Australia Sandaletten;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13341-A0-A18342-detail-1.jpg;"Größe: EU 39 Farbe: Dunkelbraun Stil: Wedges Obermaterial: Wildleder Absatzhöhe: Sehr hoher Absatz (Größer als 8 cm) Sohle: Gummi Modell: ARIANNA Innenmaterial: Wildleder Artikelzustand: Sehr gut   Artikeldetails: Elegante Keilabsatz Pumps von UGG in Dunkelbraun/Taupe, aus feinem Wildleder. Dieser wunderschöne Schuh hat das Potenzial zum Lieblingsstück.          Absatzhöhe ca. 10cm       Goldene Schnallen       Abnutzungsspuren auf der Innensohle       Innensohle weich gepolstert       Kleines Plateau für hohen Tragekomfort       Mit original Karton    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";UGG Australia;33,9;67;EU 39;Pumps / Sandaletten, UGG Australia;A0-A18342;30.07.2014;;;Brauntöne
13344;Damen > Schuhe > Pumps und Sandaletten;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/stylische-sandaletten-von-tod-s-in-beige-gr-eu-37-5-100-leder/a-13344/?ReferrerID=3;Tod´s Sandaletten;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13344-A0-A18435-detail-1.jpg;"Größe: EU 37,5 Farbe: Beige Stil: Sandaletten Obermaterial: Leder Absatzhöhe: Hoher Absatz (5-8 cm) Sohle: Leder Innenmaterial: Leder Artikelzustand: Sehr gut   Artikeldetails: Diese wunderschönen Sandaletten von TOD´S in Beige sind vielseitig zu Hose und Rock kombinierbar und ein absolutes Must-Have für den Sommer!          100% Leder        Minimale Tragespuren an der Sohle       Logobranding auf der Innensohle       Weitenverstellbar mit toller glänzender Zeirschnalle        Absatzhöhe 6,5 cm       Mit Originalkarton    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Tod's;68,9;137;EU 37,5;Pumps / Sandaletten, Tod´s;A0-A18435;30.07.2014;;;Beigetöne
13474;Damen > Schuhe > Pumps und Sandaletten;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/tolle-pumps-von-marni-in-braun-gr-eu-37/a-13474/?ReferrerID=3;Marni Pumps;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13474-A1-A16779-detail-1.jpg;"Größe: EU 37 Farbe: Braun Stil: Slingpumps Obermaterial: Stoff Absatzhöhe: Hoher Absatz (5-8 cm) Sohle: Leder Innenmaterial: Leder Artikelzustand: Sehr gut   Artikeldetails: Diese schicken Slingback-Pumps in Braun von MARNI bekommen ihr gewisses Etwas durch die Stoffbestickung auf dem Obermaterial in Brauntönen im Ethno-Stil.          Elegantes Design       Spitzer Schnitt       Slingback-Riemen       Absatzhöhe: 5,5 cm    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Marni;23,9;47;EU 37;Pumps / Sandaletten, Marni;A1-A16779;30.07.2014;;;Brauntöne
13817;Damen > Schuhe > Turnschuhe und Sneaker;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/trendige-sneaker-von-kennel-schmenger-in-braun-gr-eu-38-5-wie-neu/a-13817/?ReferrerID=3;Kennel & Schmenger Sneaker;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13817-A2-A20857-detail-1.jpg;"Größe: EU 38,5 Farbe: Braun Stil: Sneaker Obermaterial: Echtleder Sohle: Gummi Innenmaterial: Echtleder Artikelzustand: Sehr gut   Artikeldetails: Sportive Sneaker in Braun von KENNEL&SCHMENGER. Die Schuhe überzeugen mit hochwertigem Leder, einer makellosen Erscheinung und der Sternapplikation auf beiden Schuhen aus Swarowskisteinen.           Hochwertiges Leder innen und außen       Hoch geschnitten       Swarowski-Stern-Applikation       Dunkelblaue Schnürsenkel       Reißverschluss auf der Innenseite    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Kennel & Schmenger;68,9;137;EU 38,5;Turnschuhe / Sneaker, Kennel & Schmenger;A2-A20857;30.07.2014;;new-arrival;Brauntöne
13822;Damen > Schuhe > Sandalen;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/pm-category-9/ausgefallene-zehentrenner-von-bloch-in-lila-gr-eu-38-echte-hingucker/a-13822/?ReferrerID=3;Bloch Zehentrenner;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13822-A2-A21054-detail-1.jpg;"Größe: EU 38 Farbe: Lila Stil: Zehentrenner Obermaterial: Echtleder Absatzhöhe: Flach Sohle: Gummi Innenmaterial: Leder Artikelzustand: Sehr gut   Artikeldetails: Mit den Zehentrenner-Sandalen in Lila von BLOCH kann der nächste Sommer kommen. Das zeitlos schlichte Design und das schöne Glattleder mit Akzenten in Lackleder-Optik begeistern auf den ersten Blick!           Zeitloses Design       Komfortabler Schnitt       Minimale Gebrauchsspuren an der Laufsohle       Label Print auf der Innensohle       Leichte Polsterung im Fersenbereich       Gummizug für den komfortablen Einstieg    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Bloch;38,9;77;EU 38;Sandalen, Bloch;A2-A21054;30.07.2014;;new-arrival;Lilatöne
13884;Damen > Taschen > Umhängetaschen;http://reverse2.plenty-test-drive.eu/pm-category-1/cimarron/extravagante-schultertasche-von-gucci-in-braun-wie-neu/a-13884/?ReferrerID=3;Gucci Schultertasche;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13884-A5-A05964-detail-1.jpg;"Farbe: Braun Stil: Schultertasche Produktart: Zwei Träger Handtaschengröße: Groß Außenmaterial: Canvas/Segeltuch Gesamthöhe: ca. 27 cm Gesamtbreite: ca. 48 cm Trägerlänge: ca. 59 cm Trägerbreite: ca. 1,5 cm Artikelzustand: Sehr gut   Artikeldetails: Wunderschöner Shopper mit Allover-Monogram aus dem Hause GUCCI. Für eine glänzende Optik sorgt das beschichtete Canvas, die liebevollen Leder-Elemente runden das Design gekonnt ab. Die Lederquasten am goldfarbenen D-Ring dienen zusätzlich als Eye-Catcher. Ein Innenfach mit Reißverschluss sowie ein Handyfach und ein Steckfach sorgen für Ordnung. Das großzügige Hauptfach bietet viel Stauraum und sorgt dafür das all Ihre Schätze gut aufgehoben sind. Ein original Staubbeutel ist im Lieferumfang enthalten.          Extravagantes Design aus hochwertig beschichtetem Textil       Trendiges Innenfutter aus edler, juteähnlicher Baumwolle       Große Druckknopfschließe       1 RV-Innenfach, 2 kleine Seitenfächer       Echtlederhenkel und -quasten       Echtleder-Einfassung       Original Staubbeutel    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Bloch;358,9;717;Mittel;Schultertasche / Umhängetasche, Gucci;A5-A05964;30.07.2014;;;Brauntöne
13903;Damen > Schuhe > Pumps und Sandaletten;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/bequeme-sandaletten-von-yosi-samra-in-silber-gr-eu-40-neuware/a-13903/?ReferrerID=3;Yosi Samra Sandaletten;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13903-B1-A15906-detail-1.jpg;"Größe: EU 40 Farbe: Silber Stil: Ballerinas Obermaterial: Materialmix Absatzhöhe: Flach Sohle: Gummi Innenmaterial: Synthetik Artikelzustand: Neu   Artikeldetails: Diese silbernen  Ballerinas von YOSI SAMRA lassen sich in der Mitte falten und in ihrem Staubbeutel in jede kleine Tasche stecken. Ideal für kaputt getanzte Füße nach einer langen Partynacht!          Individuelles Design, glitzerndes Material       Flexibler Schnitt für optimalen Sitz       Staubbeutel vorhanden!    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Designerartikel;28,9;57;EU 40;Pumps / Sandaletten, Designerartikel, Leder;B1-A15906;30.07.2014;;;Metallischetöne
13904;Damen > Schuhe > Pumps und Sandaletten;http://reverse2.plenty-test-drive.eu/pm-category-1/pm-category-6/bequeme-sandaletten-von-yosi-samra-in-grau-gr-eu-39-neuware/a-13904/?ReferrerID=3;Yosi Samra Sandaletten;http://reverse2.plenty-test-drive.eu/images/produkte/i13/13904-B1-A15907-detail-1.jpg;"Größe: EU 39 Farbe: Grau Stil: Ballerinas Obermaterial: Materialmix Absatzhöhe: Flach Sohle: Gummi Innenmaterial: Synthetik Artikelzustand: Neu   Artikeldetails: Diese silbernen Ballerinas von YOSI SAMRA lassen sich in der Mitte falten und in ihrem Staubbeutel in jede kleine Tasche stecken. Ideal für kaputt getanzte Füße nach einer langen Partynacht!          Individuelles Design, glänzendes Material       Flexibler Schnitt für optimalen Sitz       Staubbeutel vorhanden!    &nbsp; Bitte beachten Sie auch die Ma&szlig;angaben, da die Größen je nach Hersteller unterschiedlich ausfallen.";Designerartikel;28,9;57;EU 39;Pumps / Sandaletten, Designerartikel, Leder;B1-A15907;30.07.2014;;;Grautöne
